Collection Name,Link to collection metadata,Archive,Level to integrate into EHRI portal,EHRI portal integration? (Y/N/staging set),Relevant sub-components (folder-level ingests only; some notes may also be included for collection level):,Reference,Finding Aid ID,Conditions governing access (if provided),Original archive's email/website,Further archival contact information
Archives de la Guerre (1940-1946). Résistance: Mouvements de la Résistance intérieure française - GR 18 P,https://francearchives.gouv.fr/en/findingaid/14c7b83dab5ba6b00b919ca98c0cb8b4d8330026,Ministère des Armées - Service historique de la Défense (SHD),Collection,,Multiple folders: https://francearchives.gouv.fr/en/facomponent/35ef57ec7a36f7d6aa9aa72dfb11632b8dc70ee4; https://francearchives.gouv.fr/en/facomponent/537f1da3ad8a95dec1557c88baedd873e9219066; https://francearchives.gouv.fr/en/facomponent/30191f03d84c3b003f3fa61b894ab0d516099c7a; https://francearchives.gouv.fr/en/facomponent/fc648610df25315317ac8c3b38ada413a2f7692e; https://francearchives.gouv.fr/en/facomponent/013a86f9f3fde5382fbbb5f5e00e72d6b8a79ce4,GR/18/P,1396_FRSHD_INV_GR18P,,https://www.servicehistorique.sga.defense.gouv.fr/,https://francearchives.gouv.fr/en/service/34577
Archives de la Guerre (1940-1946). Résistance: Mouvements de la Résistance intérieure française - GR 18 P,https://francearchives.gouv.fr/en/findingaid/14c7b83dab5ba6b00b919ca98c0cb8b4d8330026,Ministère des Armées - Service historique de la Défense (SHD),Collection,,,GR/18/P,1396_FRSHD_INV_GR18P,Archives publiques,https://www.servicehistorique.sga.defense.gouv.fr/,https://francearchives.gouv.fr/en/service/34577
"Archives de la Mission d’étude sur la spoliation des Juifs de France, dite Mission Mattéoli (1997-2000)",https://francearchives.gouv.fr/en/findingaid/ad08ed2179d0f2f1b420216988c08b0f1f39484b,Archives nationales de France,Collection,,,F/60MLI/1-F/60MLI/242,FRAN_IR_025012,"Communicabilité selon les articles L213-1 à L213-6 du code du patrimoine. Ces délais peuvent ne pas être à jour, c'est pourquoi il vous est demandé de bien vouloir prendre contact avec le département de l'Exécutif et du Législatif.","
http://www.archives-nationales.culture.gouv.fr",https://francearchives.gouv.fr/en/service/34633
Archives de la MSHS Sud-Est,https://francearchives.gouv.fr/en/findingaid/43d57577b183daa530ccdfe9a3885f238d774dbc,Maison méditerranéenne des sciences de l'homme (MMSH) - Secteur Archives de la recherche,Folder,,"Enquêtes d'histoires orales dans les vallées de la Roya et de la Bevera: https://francearchives.gouv.fr/en/facomponent/787d06e6a9bdeb142d73b72bdf48dc00cd36ddf1;  
https://francearchives.gouv.fr/en/facomponent/a2b2a056a88368be3fdc1fd8f355bbea2620f6f4;   
https://francearchives.gouv.fr/en/facomponent/59b382fde64da264664cf6fd10cb8fa41cc40f3b;  
https://francearchives.gouv.fr/en/facomponent/61b2e763667c8b692efb5f54a6d19fad7da0fcc8;   
https://francearchives.gouv.fr/en/facomponent/2fda3aa10deb99d50ab661c90ce52c72b135792d; 
https://francearchives.gouv.fr/en/facomponent/b4c74d2fa27339a43806145c5b6451f7f5ee96be; 
https://francearchives.gouv.fr/en/facomponent/afd7f87e61d03fb1080f899bda17c3db858c4327; 
https://francearchives.gouv.fr/en/facomponent/e7c82c5d7f65bb2723df1853d583a921f78a8dac; 
https://francearchives.gouv.fr/en/facomponent/f4c66223fda933857b9401842b2e5bb2ea555ce7",,FR_130019801_MMSH_AO_MSHS,,"
contact.bibliotheques.mmsh@services.cnrs.fr",https://francearchives.gouv.fr/en/service/607523518
Archives de la première présidence et du secrétariat général de la Cour des comptes (1816-2002).,https://francearchives.gouv.fr/en/findingaid/f0bb331dbcfb271d7b309b672645d33d7bf3039e,Archives nationales de France,Folder,,"Archives de la première présidence et du secrétariat général de la Cour des comptes (1816-2002).
Seconde Guerre mondiale.
Le travail en temps de guerre.
Contrôles.: https://francearchives.gouv.fr/en/facomponent/b94692857c3ac3a08d42998de00cc8183fa06106",20100537/1-20100537/162,FRAN_IR_056563,Communicable selon les conditions prévues par le code du Patrimoine.,"
http://www.archives-nationales.culture.gouv.fr",https://francearchives.gouv.fr/en/service/34633
Archives de Pierre Sudreau,https://francearchives.gouv.fr/en/findingaid/1d87608deef1f5ef16f0470ed4e9f890d98d39de,Archives nationales de France,Collection,,"Could do full collection for context since it's a person-specific archive, but specifically: https://francearchives.gouv.fr/en/facomponent/9e01ed774710810cdcac430cee1344da58537ba8",91AJ/1-91AJ/39,FRAN_IR_024164,,"
http://www.archives-nationales.culture.gouv.fr",https://francearchives.gouv.fr/en/service/34633
"Archives de Raymond Goldwater, lieutenant de l'Armée britanique (134J2)",https://francearchives.gouv.fr/en/findingaid/764dfcb37d9819b1397485b5549b672acab95afb,Archives départementales de la Somme,Collection,Files and mapping in staging ,,,FRAD080_DOSSIER_C,,archives@somme.fr,https://francearchives.gouv.fr/en/service/34229
"archives des musées nationaux, Les musées nationaux pendant la Seconde Guerre Mondiale et l'évacuation des œuvres (Série R)",https://francearchives.gouv.fr/en/findingaid/897e81a756e56588fb92b9e049bd7239e4047426,Archives nationales de France,Collection,,,20144792/1-20144792/363,FRAN_IR_053980,Librement communicable,"
http://www.archives-nationales.culture.gouv.fr",https://francearchives.gouv.fr/en/service/34633
Archives du Conseil d’État. Dossiers d’affaires administratives relatifs à l’examen de projets de textes ou de demandes d'avis sur les lois discriminatoires du gouvernement de Vichy (1940-1944).,https://francearchives.gouv.fr/en/findingaid/9f649c2b01b6688a6aa70604b68bb0f7464bd02c,Archives nationales de France,Collection,,,"AL//4426, AL//4427, AL//4428, AL//4429, AL//4430, AL//4431, AL//4432, AL//4433, AL//4434, AL//4435, AL//4436, AL//4437, AL//4438, AL//4439, AL//4440, AL//4441, AL//4442, AL//4444, AL//4445, AL//4446, AL//4447, AL//4448, AL//4449, AL//4450, AL//4452, AL//44",FRAN_IR_058417,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Archives du correspondant départemental du Comité d'histoire de la Seconde Guerre mondiale pour le Cantal,https://francearchives.gouv.fr/en/findingaid/8c64496335a8910d1011a30a446c1adfba5ed2bc,Archives départementales du Cantal,Collection,,,21 J 1-21,FRAD015_21_J,"Statut juridique Archives privées Communicabilité
Libres",archives@cantal.fr,https://francearchives.gouv.fr/en/service/33506
"Archives du Parti communiste français, archives de Marcel Paul sur Buchenwald",https://francearchives.gouv.fr/en/findingaid/e0bc8e50122b8e6a47b951f56a46fb8be6ee089c,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_331J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, archives Louis Molinier",https://francearchives.gouv.fr/en/findingaid/f96251e1a06e18a38f8a1df8b51d2a84852bcdd3,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_329J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, collection de documents concernant Octave Rabaté",https://francearchives.gouv.fr/en/findingaid/6b21f42d8b7bf4585d1f65249a9a20d4468323e5,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_322J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds André Blumel",https://francearchives.gouv.fr/en/findingaid/564e200578af98678f171318afdc2f2412bcea24,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_348J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Auguste Gillot",https://francearchives.gouv.fr/en/findingaid/e1d912e36d3ffe50b70c1fa93a4b0ac86a961c6b,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_297J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Auguste Touchard",https://francearchives.gouv.fr/en/findingaid/f96251e1a06e18a38f8a1df8b51d2a84852bcdd3,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_324J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds David Diamant ",https://francearchives.gouv.fr/en/findingaid/b5fbe9d289b05cabf217082b693e198cb1e92e17,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_335J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du parti communiste français, Fonds Francis Cohen",https://francearchives.gouv.fr/en/findingaid/220899f86210da8dab94646e2c26218c107179d2,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_354J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Jean-Richard Bloch",https://francearchives.gouv.fr/en/findingaid/182d78491f7217117ad7faee3dd516a98c1a7869,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_394J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Marcel Willard",https://francearchives.gouv.fr/en/findingaid/958d0186321bdf2663729303eae79122a62d6937,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_308J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Raymond Guyot",https://francearchives.gouv.fr/en/findingaid/666944b3902178856cd6f28a28ec453d1cf44b32,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_283J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds René Arthaud",https://francearchives.gouv.fr/en/findingaid/13ac7a5930dae41fa7660b622de5737f6ffbf536,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_272J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Suzanne Girault",https://francearchives.gouv.fr/en/findingaid/e5eaaf4bc29618e9895aacf1eb52d4d453932f14,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_265J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communiste français, fonds Victor Michaut - 1er dépôt",https://francearchives.gouv.fr/en/findingaid/c7fd7b63302ae9255ded8e5fb4b592fa97c011d9,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_271J,"
les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans",ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communistes français, Archives Marcel et Marguerite Cohen",https://francearchives.gouv.fr/en/findingaid/8284782deda0c3d4e7cccad77c7f76a10d36bd56,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_336J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du Parti communistes français, fonds Andrée Ponty",https://francearchives.gouv.fr/en/findingaid/7ded6c850de8b6ee87a8ca2396de0fbdb487c246,Archives départementales de la Seine-Saint-Denis,Collection,,,,FRAD093_274J,les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans,ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
"Archives du PCF, archives Jean Collet",https://francearchives.gouv.fr/en/findingaid/940d38375eb6e35c83894bd3916e93c84506e07b,Archives départementales de la Seine-Saint-Denis,Collection,,,NA,FRAD093_333J,"
les documents sont communicables après un délai de 25 ans à l'exception de ceux concernant la vie privée des personnes auxquels s'applique un délai de 50 ans",ad93@seinesaintdenis.fr,https://francearchives.gouv.fr/en/service/34393
Archives préfectorales de la seconde guerre mondiale (1930-1957) - 1 W,https://francearchives.gouv.fr/en/findingaid/481919b95e585a59061d62fa0e3b6f02bcc2f0c0,Archives départementales du Gard,Folder,,"Especially ""Population juive"": https://francearchives.gouv.fr/en/facomponent/43ae05bb9cb551c624c82cf38ed9573709bdb303, ""Camps d'internement"": https://francearchives.gouv.fr/en/facomponent/18a7c55bf6f71cf5cbd5f930ff2b9b657ddecb56,   ",1 W 1-711,FRAD030_00001_W,,,
"Archives versées par le cabinet du préfet : Administration générale, personnel, police, affaires politiques, économiques et militaires de 1940 à 1965",https://francearchives.gouv.fr/en/findingaid/ea52bebba7812c8fc861ecd1e60c31ec1208d49b,Archives départementales du Pas-de-Calais,Folder,,https://francearchives.gouv.fr/en/facomponent/9d765fec871f2241c561e1d92bae029d9f04f9f9 (seconde guerre mondiale),M 2056-8081 ; 10 T 8-45 ; 1 W 479-51078 ; 9 W 1-13 ; 1405 W 101-417,frad062_ir_cabinet_prefet_01,Les archives décrites dans le présent instrument de recherche sont communicables sous réserve de leur bon état de conservation.,archives62@pasdecalais.fr,https://francearchives.gouv.fr/en/service/33969
Association cultuelle israélite de Belfort,https://francearchives.gouv.fr/en/findingaid/941c48f6bc5390bbf705d5ed1e2d5de25ef1396b,Archives départementales du Territoire de Belfort,Collection,,"Note: The finding aid is a PDF rather than integrated into the FranceArchives portal, so obtaining a hierarchy is less possible, but a relevant component is Serie W that covers the period from 1933-1945.",,FRAD090_134_j,,"
archives@territoiredebelfort.fr",https://francearchives.gouv.fr/en/service/34324
Bibliothèque d'histoire sociale La Souvarine. Fonds Annie Kriegel,https://francearchives.gouv.fr/en/findingaid/d3c162d5bded83054b91c0983a355d9eaae34d37,Archives départementales des Hauts-de-Seine,Collection,,,,AD92_fonds_annie_kriegel,"Fonds conservé à la Bibliothèque d'Histoire Sociale La Souvarine, 4 avenue Benoît-Frachon, 92000 Nanterre.",archivesdepartementales@hauts-de-seine.fr,https://francearchives.gouv.fr/en/service/34357
Bibliothèque d'histoire sociale La Souvarine. Fonds Boris Souvarine,https://francearchives.gouv.fr/en/findingaid/541d749c405ded08a4a630fb24c83dfd279ca61d,Archives départementales des Hauts-de-Seine,Collection,,,,AD92_fonds_boris_souvarine,"Fonds conservé à la Bibliothèque d'Histoire Sociale La Souvarine, 4 avenue Benoît-Frachon, 92000 Nanterre.",archivesdepartementales@hauts-de-seine.fr,https://francearchives.gouv.fr/en/service/34357
Cabinet du préfet - (1939-1945) - 1 W 1-761,https://francearchives.gouv.fr/en/findingaid/59830597f5712194ec897f740023899a2e95301f,Archives départementales du Lot-et-Garonne,Folder,,"https://francearchives.gouv.fr/en/facomponent/8df706ee88ba30b1b06fcaf06ca33b4c52cc1918,  https://francearchives.gouv.fr/en/facomponent/b9b36e971eb0cea7b019c29fa38f409bb953d206, https://francearchives.gouv.fr/en/facomponent/ff5442d3197c708c923c81f758d1933629dd8827, https://francearchives.gouv.fr/en/facomponent/7116dea2b9fba20b2a80bcdfea250b46ff4004da, https://francearchives.gouv.fr/en/facomponent/622426a8284fd23c54c45a179a700b6abd032aad  ",1 W 1-761,FRAD047_000000631,"Statut juridique Archives publiques
Communicabilité
La grande majorité des documents se trouve dès aujourd'hui communicable.
Seuls restent cependant soumis à autorisation deux dossiers d'enquête de police en matière d'agressions sexuelles dont le délai de communicabilité est de 100 ans (1W405 et 1 W407).",archives@lotetgaronne.fr,https://francearchives.gouv.fr/en/service/33820
Cabinet du préfet pendant la Seconde Guerre mondiale (1935-1961),https://francearchives.gouv.fr/en/findingaid/eaedd9990f4c66b3ef66e36146afd75ce15b5a7f,Archives départementales de l'Hérault,Collection,,,2 W ; 6 W ; 24 W ; 30 W ; 117 W ; 150 W ; 171 W ; 318 W ; 320 W ; 322 W ; 1000 W,FRAD034_M_000467,Selon les lois et règlements en vigueur.,"
archives@herault.fr",https://francearchives.gouv.fr/en/service/33680
Cabinet du sous-préfet de Pontoise (1863-1967),https://francearchives.gouv.fr/en/findingaid/3502120417fedbc7062a9ec6191b82bdecea69a9,Archives départementales du Val-d'Oise,Folder,,"Cabinet du sous-préfet de Pontoise (1863-1967)
Affaires liées à la Seconde Guerre mondiale.
Surveillance des personnalités et des mouvements politiques.
Mouvements sociaux et politiques : tracts, notes, circulaires, journaux, rapports.
Rassemblement national populaire (R.N.P.).
Rassemblement national populaire. - Brochure antisémite illustrée, estampillée des Jeunesses nationales populaires, promotion Marcel Déat.","1 Z 1 - 35, 37-70, 73-79, 83-436",FRAD095_00046,"Délai de communicabilité réglementaire : conformément à l'article L213-2 du Code du patrimoine. Restrictions d'accès liées à l'état matériel des documents : conformément au règlement de la salle de lecture en vigueur.
Publiable sur internet",archives.publics@valdoise.fr,https://francearchives.gouv.fr/en/service/34471
Caisse d’épargne de Paris (valeurs saisies pendant la Seconde Guerre mondiale) : entrée 195 AQ.,https://francearchives.gouv.fr/en/findingaid/ee3e6b8cf19b628dff6b44794f191e2395c05767,Archives nationales du monde du travail - ANMT,Collection,,,195 AQ 1 à 12,FRANMT_IR_195_AQ,Fonds « librement communicable » : tous les délais applicables - tels que prévus par le Code du patrimoine par analogie avec les archives publique - sont échus.,anmt@culture.gouv.fr,https://francearchives.gouv.fr/en/service/34645
Camp d'internement de Mérignac-Beaudésert pendant la seconde guerre mondiale,https://francearchives.gouv.fr/en/findingaid/8a041805f1a6930fb3a8366e79fde8c27daaccf9,Archives départementales de la Gironde,Collection,,,71 W 1-57 ; 3515 W 1-9,FRAD033_IR_71W,L'ensemble des documents est libre d'accès. Les originaux numérisés ne sont disponibles que sous forme numérique.,"
archives.gironde@gironde.fr",https://francearchives.gouv.fr/en/service/33661
Carreaux de Drancy,https://francearchives.gouv.fr/en/findingaid/21de7ba6c08957de1a4177337b3ee1e4eb63d235,Archives nationales de France,Collection,,,AE/VIs/1-AE/VIs/84,FRAN_IR_053857,Sur autorisation,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Catalogue d'affiches de la Guerre 1939-1945,https://francearchives.gouv.fr/en/findingaid/939f2a72f7520eb7fb43aca322161d34be897109,Archives départementales de la Vendée,Collection,,,,FRAD085_AFFICHESGUERRE1939-1945,Publiable sur internet,,
Collection de documents sur l'histoire de la Résistance et de la Déportation de l'Association du Musée départemental de la Résistance en Ardèche,https://francearchives.gouv.fr/en/findingaid/1f9127c2cc6a0634b534dbf595d435a7a2875d63,Archives départementales de l'Ardèche,Collection,,,70 J 1-71,FRAD007_70J,"Consultation des originaux interdite, autorisée uniquement sous forme numérique.
Conformément à l’article L213-3 du code du patrimoine et aux arrêtés du 29 avril 2002 et du 24 décembre 2015 portant ouverture d’archives de la Seconde Guerre mondiale, les documents sont librement communicables.","
archives@ardeche.fr",https://francearchives.gouv.fr/en/service/33421
Comité départemental de Libération de la Gironde de la seconde guerre mondiale,https://francearchives.gouv.fr/en/findingaid/74bf26151a85e70bc906c62f208707501e780169,Archives départementales de la Gironde,Folder,,"Activités du comité, https://francearchives.gouv.fr/en/facomponent/1fc0e186038a7c0bf737e997780c4a39eac0530e;  Rôle du C. D. L. en matière d'épuration, https://francearchives.gouv.fr/en/facomponent/2dfaccf00b24d4048563aca2542b65b6f916d085; Histoire de l'occupation et de la libération dans le département de la Gironde, https://francearchives.gouv.fr/en/facomponent/15e5de585b0212ec3ee473dcf3603cc42cf07556",57 W 1-65,FRAD033_IR_57W,,archives.gironde@gironde.fr,https://francearchives.gouv.fr/en/service/33661
Commissariat de Sarcelles: organisation du service du travail obligatoire (S.T.O.) et du recensement des Juifs (1941-1949),https://francearchives.gouv.fr/en/findingaid/76048db455abc9f36403da344856dbf6921bdf06,Archives départementales du Val-d’Oise,Collection,,,2198 W 1 à 1,FRAD095_00448,Publiable sur internet,archives.publics@valdoise.fr,https://francearchives.gouv.fr/en/service/34471
Commissariat général aux questions juives et Service de restitution des biens des victimes des lois et mesures de spoliation,https://francearchives.gouv.fr/en/findingaid/4a4af75fad48451eb6e347f4492e9ddd4f2b360f,Archives départementales de la Somme,Collection,Files and mapping in staging ,,AJ38,FRAD080_AJ38,Accès aux images réservé en salle de lecture des Archives départementales de la Somme,archives@somme.fr,https://francearchives.gouv.fr/en/service/34229
Commissariat général aux questions juives et Service de restitution des biens des victimes des lois et mesures de spoliation,https://francearchives.gouv.fr/en/findingaid/82262507abdb72c0ad9aceedc1cce9dde33eba03,Archives nationales de France,Collection,,,,FRAN_IR_054029,"Documents librement communicables, sauf quelques dossiers du personnel du CGQJ.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Commissariat général aux questions juives et Service de restitution des biens des victimes des lois et mesures de spoliation,https://francearchives.gouv.fr/en/findingaid/35912d57c0cf27f04374ddda588fbb11c5122b56,Archives nationales de France,Collection,,,,FRAN_IR_054030,"Documents librement communicables.
Les documents sont consultables sous forme de microfilm.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Commissariat général aux questions juives et Service de restitution des biens des victimes des lois et mesures de spoliation,https://francearchives.gouv.fr/en/findingaid/949bdbc73983b98ed53d584bc40da76d04781af9,Archives nationales de France,Collection,,"Actions et parts bénéficiaires appartenant à des juifs (loi du 22 juillet 1941 art. 1er et 11).
Condamnés militaires pendant l'occupation allemande.
Personnes déchues de la nationalité française (loi du 23 juillet 1940)
Personnes déchues de la nationalité française (loi du 23 juillet 1940)
Séquestre des biens des organisations dissoutes
Séquestre des biens des organisations dissoutes",,FRAN_IR_054031,Les documents sont consultables sous forme de microfilm.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Commissariat général aux questions juives. Délégation régionale de Poitiers.,https://francearchives.gouv.fr/en/findingaid/debc2cb95cc1dc33676b0f4a11f5aa91ed5538b4,Archives départementales de la Vienne,Collection,Files and mapping in staging,,90 W 1-6,FRAD086_90W,,archives@departement86.fr,https://francearchives.gouv.fr/en/service/34295
Commune mixte de l'Aurès puis sous-préfecture d'Arris (1867-1961),https://francearchives.gouv.fr/en/findingaid/b5ec804f78a74d2adfa2234630854938155c52f6,Archives nationales d'outre-mer - ANOM,Folder,,"https://francearchives.gouv.fr/en/facomponent/6fb5c7375a1066f88ca17f82d4f14f718ffda232, Archives nationales d'outre-mer - ANOM
Commune mixte de l'Aurès puis sous-préfecture d'Arris (1867-1961)
Questions juives",93203 1-37,FRANOM_01533,"Les documents sont librement communicables dans leur totalité, à l'exception de quelques cartons soumis au délai de 75 ans, ces cartons concernant les affaires portées devant les juridictions.La reproduction éventuelle des documents librement communicables est soumise aux conditions fixées par le règlement intérieur des Archives nationales d’outre-mer.
Publiable sur internet",anom.aix@culture.gouv.fr,https://francearchives.gouv.fr/en/service/34641
"Confiscations prononcées durant l'Occupation (juifs, militaires, personnes déchues de la nationalité française, organisations",https://francearchives.gouv.fr/en/findingaid/d4a0ee7077d47b7e1ba2a8fa69628d2540c02450,Archives départementales de la Vienne,Collection,Files and mapping in staging ,,1510 W 1-6,FRAD086_1510W,,"
archives@departement86.fr",https://francearchives.gouv.fr/en/service/34295
Correspondant du comité d'histoire de la deuxième guerre mondiale,https://francearchives.gouv.fr/en/findingaid/e88e7f517b54a4a4e8a604a82e00872499ac9ae5,Archives départementales du Territoire de Belfort,Collection,,,,FRAD090_018_j,,"
archives@territoiredebelfort.fr",https://francearchives.gouv.fr/en/service/34324
Cour de justice du département de la Seine. Dossiers d'enquêtes ouvertes entre septembre et novembre 1944 (n°12 à 10330),https://francearchives.gouv.fr/en/findingaid/906eef9f58cd66e1c9417d474257c10e77d48fd7,Archives nationales de France,Collection,,"Dossiers on collaborators, including those involved in anti-Jewish measures, anti-Resistance activities, and working with the German occupiers",Z/6/3366-Z/6/3423,FRAN_IR_050140,"Communicables selon les articles L. 213-1 à 213-7 du Code du patrimoine et selon l’arrêté du 24 décembre 2015 portant ouverture d’archives relatives à la Seconde guerre mondiale, sous réserve des restrictions imposées par l’état matériel des documents.
Par ailleurs, conformément à la réglementation de la Commission nationale de l’informatique et des libertés, ne sont publiées dans ce présent instrument de recherche en salle des inventaires virtuelle des Archives nationales que les données pouvant être diffusées sur Internet. Les données à caractère personnel ou sensibles peuvent être consultées sur les postes informatiques de l’un des sites des Archives nationales.
Par ailleurs, conformément à la réglementation de la Commission nationale de l’informatique et des libertés, ne sont publiées dans ce présent instrument de recherche en salle des inventaires virtuelle des Archives nationales que les données pouvant être diffusées sur Internet. Les données à caractère personnel ou sensibles peuvent être consultées sur les postes informatiques de l’un des sites des Archives nationales.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Culture ; Cabinet et services rattachés au Ministre ; Cabinet ; conseiller technique (1994-2002),https://francearchives.gouv.fr/en/findingaid/bd9308ea759a5947499673d5ff9be17bd68903fc,Archives nationales de France,Folder,,"Musée d'Histoire et d'Art du Judaïsme. Financement, demande de subventions : notes: https://francearchives.gouv.fr/en/facomponent/369645eafe4a322d6c9702cfaaf89423b2b51c11 ; Commission Matteoli: https://francearchives.gouv.fr/en/facomponent/be1295ad1b6a4c47f6cc567c42ef47be1a5fcf42 ",20050502/1-20050502/35,FRAN_IR_020102,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Direction départementale de l'office national des anciens combattants et victimes de guerre,https://francearchives.gouv.fr/en/findingaid/61ee0ab84264cc7bb82492931f658cc2f80e86b5,Archives départementales de la Mayenne,Collection,,,,FRAD053_1903W_BV,"Statut juridiqueArchives publiques
Communicabilité
Accès selon les délais de communicabilité applicables aux archives publiques prévus aux articles L.213-1 et L.213-2 du code du patrimoine. Les dossiers individuels conservés dans ce versement peuvent être communiqués :
- 25 ans après la date du décès,
- 50 ans à la clôture du dossier (délai de protection de la vie privée),
- 120 ans à compter de la naissance si le dossier contient des informations médicales.",archives@lamayenne.fr,https://francearchives.gouv.fr/en/service/33862
Division des consignations et du contentieux général (DC) - Cote 0706550001-0706550003,https://francearchives.gouv.fr/en/findingaid/3130561d44db596426f4737ae5b8ead3a72c42e3,Caisse des Dépôts - Service des archives,Collection,,"0706550003, MESURES ANTISEMITES (GUERRE 1939-1945), 1940-1948. PDF, so has to be at collection level unfortunately",,FRCDC180020026_070655,Librement communicable sous réserve des restrictions imposées par l'état matériel des documents et des dispositions de l'art. L. 213-2 du Code du patrimoine,archiveshistoriques@caissedesdepots.fr,https://francearchives.gouv.fr/en/service/249006481
